id,carat,cut,cut_ord,color,clarity,clarity_ord,price,retail_price,company_price,,Linear Regression model - provides an equation to use to predict the prices.,
1,0.51,Premium,4,F,VS1,4,1749,1470.03,441.009,,"Equation: Consumer MSRP = -5,269 + 8,413 x Carat + 158.1 x Cut + 454 x Clarity",
2,2.25,Fair,1,G,I1,1,7069,14272.35,4281.705,,Equation: Company Price at 70% off MSRP = above formula * 0.3,
3,0.7,Very Good,3,E,VS2,5,2757,3364.4,1009.32,,,
4,0.47,Good,2,F,VS1,4,1243,817.31,245.193,,,
5,0.3,Ideal,5,G,VVS1,7,789,1223.4,367.02,,,
6,0.33,Ideal,5,D,SI1,3,728,-340.21,-102.063,,,"Plot 1 - Plot the data for the diamonds in the database, with carat on the x-axis and price on the y-axis. "
7,2.01,Very Good,3,G,SI1,3,18398,13477.43,4043.229,,,
8,0.51,Ideal,5,F,VVS2,6,2203,2536.13,760.839,,,
9,1.7,Premium,4,D,SI1,3,15100,11027.5,3308.25,,,
10,0.53,Premium,4,D,VS2,5,1857,2092.29,627.687,,,
11,0.39,Premium,4,H,SI1,3,834,6.47,1.941,,,
12,1.5,Very Good,3,H,SI1,3,7708,9186.8,2756.04,,,
13,1,Premium,4,E,VS2,5,6272,6046.4,1813.92,,,
14,1.29,Ideal,5,J,VS1,4,5676,8190.27,2457.081,,,
15,2.01,Good,2,D,SI2,2,16776,12865.33,3859.599,,,
16,1.13,Ideal,5,G,VS1,4,7404,6844.19,2053.257,,,
17,0.7,Ideal,5,I,SI2,2,1702,2318.6,695.58,,,
18,0.38,Very Good,3,I,VS1,4,606,218.24,65.472,,,
19,1.17,Ideal,5,H,SI2,2,5423,6272.71,1881.813,,,
20,1.51,Premium,4,F,SI1,3,8033,9429.03,2828.709,,,
21,0.4,Ideal,5,D,VVS1,7,1279,2064.7,619.41,,,
22,0.41,Very Good,3,F,VS2,5,863,924.63,277.389,,,
23,0.51,Ideal,5,G,VVS1,7,1893,2990.13,897.039,,,
24,1,Premium,4,H,SI2,2,3584,4684.4,1405.32,,,
25,1.09,Ideal,5,F,VVS2,6,10196,7415.67,2224.701,,,
26,0.39,Good,2,E,VS1,4,1082,144.27,43.281,,,
27,0.72,Premium,4,E,VS2,5,3024,3690.76,1107.228,,,
28,1.14,Very Good,3,E,SI2,2,5593,5704.12,1711.236,,,
29,0.3,Ideal,5,D,VS2,5,710,315.4,94.62,,,
30,0.3,Ideal,5,H,SI1,3,465,-592.6,-177.78,,,
31,0.71,Very Good,3,H,SI1,3,2188,2540.53,762.159,,,
32,1.22,Very Good,3,H,SI2,2,5192,6377.16,1913.148,,,
33,1.53,Ideal,5,H,SI2,2,9562,9301.39,2790.417,,,
34,0.5,Premium,4,F,VS2,5,1436,1839.9,551.97,,,
35,0.42,Ideal,5,G,VS2,5,1087,1324.96,397.488,,,
36,1.22,Ideal,5,H,SI1,3,6727,7147.36,2144.208,,,
37,0.3,Ideal,5,I,VVS1,7,552,1223.4,367.02,,,
38,0.25,Ideal,5,G,VVS2,6,525,348.75,104.625,,,
39,0.33,Very Good,3,H,VS1,4,579,-202.41,-60.723,,,
40,1.2,Ideal,5,G,SI1,3,6741,6979.1,2093.73,,,
41,0.7,Ideal,5,G,VVS2,6,3205,4134.6,1240.38,,,
42,0.31,Premium,4,F,VS2,5,802,241.43,72.429,,,
43,0.41,Ideal,5,F,VS2,5,1107,1240.83,372.249,,,
44,0.9,Ideal,5,E,SI2,2,3200,4001.2,1200.36,,,
45,1.44,Good,2,G,I1,1,5987,7615.92,2284.776,,,
46,0.7,Good,2,G,SI1,3,2218,2298.3,689.49,,,
47,0.35,Premium,4,E,SI1,3,788,-330.05,-99.015,,,
48,0.54,Premium,4,D,SI1,3,1595,1268.42,380.526,,,
49,1.71,Very Good,3,F,VS2,5,13818,11861.53,3558.459,,,
50,1.01,Premium,4,F,VS2,5,6244,6130.53,1839.159,,,
51,0.43,Ideal,5,G,SI2,2,935,47.09,14.127,,,
52,0.71,Ideal,5,E,VS2,5,3304,3764.73,1129.419,,,
53,0.32,Very Good,3,F,VS2,5,602,167.46,50.238,,,
54,1.13,Ideal,5,G,VS2,5,6891,7298.19,2189.457,,,
55,0.91,Premium,4,E,SI2,2,3639,3927.23,1178.169,,,
56,1.02,Very Good,3,E,SI1,3,5278,5148.56,1544.568,,,
57,0.36,Ideal,5,E,VS1,4,1094,366.18,109.854,,,
58,0.3,Premium,4,G,VS1,4,776,-296.7,-89.01,,,
59,0.3,Ideal,5,G,IF,8,863,1677.4,503.22,,,
60,0.77,Ideal,5,I,SI1,3,2475,3361.51,1008.453,,,
61,0.4,Ideal,5,H,VS1,4,815,702.7,210.81,,,
