id,carat,cut,cut_ord,color,clarity,clarity_ord,retail_price,company_price,retail_price_if_1_carat_more,diff_btwn_carats,carat_squared,,Linear Regression model - provides an equation to use to predict the prices.,,,,,,,"1.    According to the model, if a diamond is 1 carat heavier than another with the same cut, how much more should I expect to pay? Why?"
1246,0.21,Premium,4,E,SI2,2,-1961.87,-588.561,6451.13,8413,-3721.928251,,"Equation: Consumer MSRP = -5,269 + 8,413 x Carat + 158.1 x Cut + 454 x Clarity",,,,,,,"Equation Diamond A = -5,269 + 8,413 x Carat + 158.1 x Cut + 454 x Clarity"
366,0.23,Very Good,3,E,VVS2,6,-135.71,-40.713,8277.29,8413,-2062.706468,,Equation: Company Price at 70% off MSRP = above formula * 0.3,,,,,,,Equation Diamond B = -5269 + (8413*(1+Carat))) + (158.1*Cut) 
654,0.23,Very Good,3,F,VVS1,7,318.29,95.487,8731.29,8413,-1608.706468,,,,,,,,,
755,0.23,Very Good,3,F,VS1,4,-1043.71,-313.113,7369.29,8413,-2970.706468,,,,,,,,,or do scatter plot to see relationship btwn carat and price if cut is all the same.
1125,0.23,Good,2,E,VVS2,6,-293.81,-88.143,8119.19,8413,-2220.806468,,,,,,,,,
1202,0.23,Good,2,G,VVS1,7,160.19,48.057,8573.19,8413,-1766.806468,,,,,,,,,
1228,0.23,Very Good,3,E,VVS2,6,-135.71,-40.713,8277.29,8413,-2062.706468,,,,"Plot 1 - Plot the data for the diamonds in the database, with carat on the x-axis and price on the y-axis. ",,,,,
1254,0.23,Very Good,3,E,VVS1,7,318.29,95.487,8731.29,8413,-1608.706468,,,,,,,,,
1295,0.23,Very Good,3,D,VS2,5,-589.71,-176.913,7823.29,8413,-2516.706468,,,,Linear functions take the form y = mx + b. An exponential function is in the form y = ax,,,,,
1746,0.23,Very Good,3,H,VVS1,7,318.29,95.487,8731.29,8413,-1608.706468,,,,,,,,,
1909,0.23,Good,2,E,VVS1,7,160.19,48.057,8573.19,8413,-1766.806468,,,,,,,,,
2513,0.23,Very Good,3,E,VVS1,7,318.29,95.487,8731.29,8413,-1608.706468,,,,,,,,,
2530,0.23,Good,2,E,VVS2,6,-293.81,-88.143,8119.19,8413,-2220.806468,,,,,,,,,
2706,0.23,Ideal,5,E,SI2,2,-1635.51,-490.653,6777.49,8413,-3562.506468,,,,,,,,,
327,0.24,Ideal,5,E,VVS2,6,264.62,79.386,8677.62,8413,-1745.7504,,,,,,,,,
